221,5221
5221,221
12217,207
207,12217
12948,5381
5381,12948
10338,124
124,10338
1667,16756
16756,1667
2345,15688
15688,2345
3973,5572
5572,3973
12952,11916
11916,12952
4215,14719
14719,4215
13711,6306
6306,13711
7793,15449
15449,7793
5128,8041
8041,5128
1523,14533
14533,1523
1800,13121
13121,1800
5487,11357
11357,5487
9091,13500
13500,9091
1445,10678
10678,1445
15772,11506
11506,15772
6856,12092
12092,6856
16331,13190
13190,16331
9994,16714
16714,9994
360,14805
14805,360
3240,7091
7091,3240
6499,4126
4126,6499
16703,12015
12015,16703
16114,11620
11620,16114
3509,14863
14863,3509
7834,14110
14110,7834
15100,10295
10295,15100
12495,15770
15770,12495
262,11237
11237,262
12136,376
376,12136
15074,13046
13046,15074
4341,8011
8011,4341
13923,870
870,13923
9771,4749
4749,9771
8835,7279
7279,8835
3892,1769
1769,3892
703,16083
16083,703
6104,1503
1503,6104
9080,11247
11247,9080
6167,12405
12405,6167
8550,8049
8049,8550
4214,5203
5203,4214
4966,9002
9002,4966
14733,16136
16136,14733
12369,7902
7902,12369
11380,4944
4944,11380
10330,13788
13788,10330
12142,2261
2261,12142
4119,3653
3653,4119
16231,10865
10865,16231
195,9611
9611,195
15534,4521
4521,15534
10331,4564
4564,10331
1150,4879
4879,1150
14233,10336
10336,14233
2450,12425
12425,2450
11259,16668
16668,11259
397,15195
15195,397
4771,11163
11163,4771
12508,14103
14103,12508
10030,15189
15189,10030
235,5253
5253,235
4696,11743
11743,4696
13490,3058
3058,13490
14670,3894
3894,14670
6192,13751
13751,6192
1648,10232
10232,1648
1314,4694
4694,1314
2215,15941
15941,2215
10983,9041
9041,10983
4402,3345
3345,4402
3025,14992
14992,3025
826,15493
15493,826
645,16613
16613,645
2894,5649
5649,2894
10261,2640
2640,10261
15120,7513
7513,15120
2391,4274
4274,2391
7086,12688
12688,7086
9980,11288
11288,9980
10651,9241
9241,10651
15871,9367
9367,15871
9883,13799
13799,9883
13737,8011
8011,13737
15314,11701
11701,15314
12967,9298
9298,12967
15924,15794
15794,15924
4835,6960
6960,4835
10184,13912
13912,10184
9499,6639
6639,9499
14709,6077
6077,14709
8432,6242
6242,8432
13640,9017
9017,13640
6045,10856
10856,6045
3354,4479
4479,3354
2805,5203
5203,2805
370,7117
7117,370
4489,7262
7262,4489
2072,4120
4120,2072
3415,12302
12302,3415
7895,15836
15836,7895
12272,14519
14519,12272
13442,9941
9941,13442
8105,2814
2814,8105
13177,4008
4008,13177
9853,4134
4134,9853
4959,13792
13792,4959
